Date,Maximum_Temperature,Minimun_Temperature,Average_Temperature,Rainfall,water_Discharge
2012-01-01,22.0,0.7,11.35,0.0,185.5
2012-01-02,20.5,0.8,10.65,0.0,235.1
2012-01-03,20.8,1.0,10.9,0.0,235.0
2012-01-04,15.0,1.7,8.35,0.0,247.4
2012-01-05,15.0,5.4,10.2,0.05,267.9
2012-01-06,9.0,6.0,7.5,0.05,282.4
2012-01-07,12.4,4.8,8.6,30.0,316.8
2012-01-08,14.8,1.9,8.35,0.0,317.0
2012-01-09,16.5,1.0,8.75,0.0,303.7
2012-01-10,17.0,1.0,9.0,0.0,286.8
2012-01-11,17.5,0.5,9.0,0.0,275.0
2012-01-12,18.5,0.5,9.5,0.0,267.2
2012-01-13,19.0,1.2,10.1,0.0,271.4
2012-01-14,13.8,2.5,8.15,0.0,272.0
2012-01-15,11.0,3.5,7.25,5.1,284.0
2012-01-16,13.0,3.5,8.25,4.1,284.4
2012-01-17,15.0,1.0,8.0,0.0,280.5
2012-01-18,18.0,1.0,9.5,0.0,289.7
2012-01-19,15.4,1.0,8.2,0.0,268.8
2012-01-20,16.0,0.7,8.35,0.0,250.7
2012-01-21,17.5,1.2,9.35,0.0,252.1
2012-01-22,11.0,3.2,7.1,0.1,269.3
2012-01-23,14.0,7.0,10.5,2.7,268.9
2012-01-24,18.0,2.0,10.0,0.0,308.5
2012-01-25,19.0,2.7,10.85,0.0,290.4
2012-01-26,20.0,3.5,11.75,0.0,284.9
2012-01-27,20.0,3.6,11.8,0.0,263.7
2012-01-28,21.0,3.5,12.25,0.0,261.8
2012-01-29,20.6,3.4,12.0,0.0,264.8
2012-01-30,20.0,5.0,12.5,0.0,255.7
2012-02-01,18.0,5.0,11.5,0.0,260.5
2012-02-02,20.0,4.5,12.25,0.0,269.6
2012-02-03,13.0,4.4,8.7,1.0,264.1
2012-02-04,11.0,9.0,10.0,3.0,263.3
2012-02-05,14.5,7.0,10.75,3.0,279.5
2012-02-06,16.0,2.7,9.35,0.1,284.7
2012-02-07,17.0,1.0,9.0,0.0,289.1
2012-02-08,19.0,0.6,9.8,0.0,278.9
2012-02-09,19.0,1.6,10.3,0.0,290.4
2012-02-10,21.0,1.4,11.2,0.0,315.9
2012-02-11,18.0,1.6,9.8,0.0,326.4
2012-02-12,12.0,3.0,7.5,0.1,332.3
2012-02-13,9.7,6.8,8.25,12.3,327.5
2012-02-14,16.3,1.5,8.9,0.3,377.0
2012-02-15,17.5,2.0,9.75,0.0,364.0
2012-02-16,19.5,2.7,11.1,0.0,345.0
2012-02-17,17.2,3.5,10.35,0.0,311.3
2012-02-18,15.5,7.4,11.45,0.0,316.8
2012-02-19,19.0,8.5,13.75,0.0,322.6
2012-02-20,16.0,9.0,12.5,0.0,298.2
2012-02-21,19.4,9.4,14.399999999999999,1.0,283.0
2012-02-22,17.2,5.4,11.3,1.0,351.2
2012-02-23,18.2,2.0,10.1,0.0,295.6
2012-02-24,19.0,2.0,10.5,0.0,322.8
2012-02-25,21.0,7.2,14.1,0.0,312.4
2012-02-26,20.0,5.0,12.5,0.0,315.6
2012-02-27,22.0,5.6,13.8,0.0,293.9
2012-02-28,26.0,8.5,17.25,0.0,304.8
2012-02-29,25.0,5.5,15.25,0.0,291.6
2012-03-01,25.5,6.7,16.1,0.0,242.2
2012-03-02,25.0,7.0,16.0,0.0,213.0
2012-03-03,26.0,8.0,17.0,0.0,248.6
2012-03-04,19.5,11.4,15.45,0.5,369.4
2012-03-05,24.5,10.5,17.5,1.0,339.6
2012-03-06,25.0,7.6,16.3,0.0,270.4
2012-03-07,19.3,7.7,13.5,0.0,201.8
2012-03-08,23.5,9.4,16.45,0.0,198.8
2012-03-09,23.0,5.8,14.4,0.0,197.0
2012-03-10,23.8,6.5,15.15,0.0,185.2
2012-03-11,21.7,7.2,14.45,0.0,205.0
2012-03-12,17.3,10.2,13.75,0.0,205.6
2012-03-13,18.5,6.0,12.25,2.0,200.0
2012-03-14,24.0,5.5,14.75,0.0,207.0
2012-03-15,25.5,7.0,16.25,0.0,186.1
2012-03-16,27.7,9.8,18.75,0.0,194.5
2012-03-17,28.7,13.0,20.85,0.0,210.9
2012-03-18,30.0,14.6,22.3,0.0,223.1
2012-03-19,30.0,15.5,22.75,0.0,350.3
