,Maximum_Temperature,Minimun_Temperature,Average_Temperature,Rainfall,water_Discharge,Month_sin,Month_cos,Day_sin,Day_cos
0,22.0,0.7,11.35,0.0,185.5,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945
1,20.5,0.8,10.65,0.0,235.1,0.49999999999999994,0.8660254037844387,0.39435585511331855,0.9189578116202306
2,20.8,1.0,10.9,0.0,235.0,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763
3,15.0,1.7,8.35,0.0,247.4,0.49999999999999994,0.8660254037844387,0.72479278722912,0.6889669190756866
4,15.0,5.4,10.2,0.05,267.9,0.49999999999999994,0.8660254037844387,0.8486442574947509,0.5289640103269624
5,9.0,6.0,7.5,0.05,282.4,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203
6,12.4,4.8,8.6,30.0,316.8,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767
7,14.8,1.9,8.35,0.0,317.0,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264
8,16.5,1.0,8.75,0.0,303.7,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204
9,17.0,1.0,9.0,0.0,286.8,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344
10,17.5,0.5,9.0,0.0,275.0,0.49999999999999994,0.8660254037844387,0.7907757369376989,-0.6121059825476626
11,18.5,0.5,9.5,0.0,267.2,0.49999999999999994,0.8660254037844387,0.6513724827222223,-0.758758122692791
12,19.0,1.2,10.1,0.0,271.4,0.49999999999999994,0.8660254037844387,0.48530196253108104,-0.8743466161445821
13,13.8,2.5,8.15,0.0,272.0,0.49999999999999994,0.8660254037844387,0.29936312297335804,-0.9541392564000488
14,11.0,3.5,7.25,5.1,284.0,0.49999999999999994,0.8660254037844387,0.10116832198743272,-0.994869323391895
15,13.0,3.5,8.25,4.1,284.4,0.49999999999999994,0.8660254037844387,-0.10116832198743204,-0.9948693233918952
16,15.0,1.0,8.0,0.0,280.5,0.49999999999999994,0.8660254037844387,-0.2993631229733582,-0.9541392564000488
17,18.0,1.0,9.5,0.0,289.7,0.49999999999999994,0.8660254037844387,-0.4853019625310808,-0.8743466161445822
18,15.4,1.0,8.2,0.0,268.8,0.49999999999999994,0.8660254037844387,-0.651372482722222,-0.7587581226927911
19,16.0,0.7,8.35,0.0,250.7,0.49999999999999994,0.8660254037844387,-0.7907757369376986,-0.6121059825476627
20,17.5,1.2,9.35,0.0,252.1,0.49999999999999994,0.8660254037844387,-0.8978045395707417,-0.44039415155763423
21,11.0,3.2,7.1,0.1,269.3,0.49999999999999994,0.8660254037844387,-0.9680771188662041,-0.2506525322587213
22,14.0,7.0,10.5,2.7,268.9,0.49999999999999994,0.8660254037844387,-0.9987165071710528,-0.05064916883871355
23,18.0,2.0,10.0,0.0,308.5,0.49999999999999994,0.8660254037844387,-0.9884683243281114,0.15142777750457667
24,19.0,2.7,10.85,0.0,290.4,0.49999999999999994,0.8660254037844387,-0.9377521321470804,0.3473052528448203
25,20.0,3.5,11.75,0.0,284.9,0.49999999999999994,0.8660254037844387,-0.8486442574947509,0.5289640103269624
26,20.0,3.6,11.8,0.0,263.7,0.49999999999999994,0.8660254037844387,-0.72479278722912,0.6889669190756865
27,21.0,3.5,12.25,0.0,261.8,0.49999999999999994,0.8660254037844387,-0.5712682150947924,0.8207634412072763
28,20.6,3.4,12.0,0.0,264.8,0.49999999999999994,0.8660254037844387,-0.3943558551133187,0.9189578116202306
29,20.0,5.0,12.5,0.0,255.7,0.49999999999999994,0.8660254037844387,-0.20129852008866114,0.9795299412524943
30,18.0,5.0,11.5,0.0,260.5,0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945
31,20.0,4.5,12.25,0.0,269.6,0.8660254037844386,0.5000000000000001,0.39435585511331855,0.9189578116202306
32,13.0,4.4,8.7,1.0,264.1,0.8660254037844386,0.5000000000000001,0.5712682150947923,0.8207634412072763
33,11.0,9.0,10.0,3.0,263.3,0.8660254037844386,0.5000000000000001,0.72479278722912,0.6889669190756866
34,14.5,7.0,10.75,3.0,279.5,0.8660254037844386,0.5000000000000001,0.8486442574947509,0.5289640103269624
35,16.0,2.7,9.35,0.1,284.7,0.8660254037844386,0.5000000000000001,0.9377521321470804,0.3473052528448203
36,17.0,1.0,9.0,0.0,289.1,0.8660254037844386,0.5000000000000001,0.9884683243281114,0.1514277775045767
37,19.0,0.6,9.8,0.0,278.9,0.8660254037844386,0.5000000000000001,0.9987165071710528,-0.05064916883871264
